% isAttack normal:	571
% isAttack attack:	3229
@relation 'UnformattedKDDTrain+-weka.filters.unsupervised.attribute.Remove-R3,7,10,11,12,13,14,15,16,17,18,19,20,21,22,43-weka.filters.unsupervised.instance.Randomize-S11-weka.filters.unsupervised.attribute.RenameNominalValues-RisAttack-Nnormal:normal, tcpFlood:attack, udpFlood:attack, httpFlood:attack, slowBody:attack, slowHeaders:attack, slowRead:attack-weka.filters.unsupervised.attribute.Remove-weka.filters.unsupervised.attribute.Remove-V-R1,3,18,27'

@attribute duration numeric
@attribute flag {OTH,REJ,RSTO,RSTOS0,RSTR,S0,S1,S2,S3,SF,SH}
@attribute dst_host_srv_count numeric
@attribute isAttack {normal,attack}

@data
0,SF,255,normal
0,SF,255,normal
0,SF,243,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,67,normal
0,SF,255,normal
0,SF,255,normal
0,SF,247,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,REJ,250,normal
0,SF,255,normal
0,SF,255,normal
0,REJ,255,normal
0,REJ,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,REJ,11,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,249,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,REJ,250,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,250,normal
0,SF,255,normal
0,SF,255,normal
0,REJ,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,204,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,REJ,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,253,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
0,SF,255,normal
